This datas are in meter. In program use cm
rp = 1.6
l  = 4.5
x;y
-2,765189109E-2;-9,713506084E-2
-2,376106442E-2;-8,979769888E-2
-2,079543505E-2;-8,261524486E-2
-1,725380417E-2;-7,536432410E-2
-1,374812218E-2;-6,856701475E-2
-1,052316923E-2;-6,243214811E-2
-7,384657476E-3;-5,594808567E-2
-4,264120161E-3;-4,969082895E-2
-7,722767765E-4;-4,343291229E-2
2,191529008E-3;-3,699230532E-2
5,171593132E-3;-3,106648603E-2
8,527800995E-3;-2,471403254E-2
1,128278312E-2;-1,802865433E-2
1,398555934E-2;-1,128208331E-2
1,579013268E-2;-4,350218427E-3
1,600712392E-2;2,707462971E-3
1,442770941E-2;1,013573211E-2
1,219143236E-2;1,647494850E-2
9,570024673E-3;2,227413197E-2
7,409483319E-3;2,740918145E-2
5,353353792E-3;3,242184532E-2
3,088400610E-3;3,767928042E-2
1,214134058E-3;4,210697689E-2
-5,733380356E-4;4,635620894E-2



---KerteszDomokos2021---
